data,cls,acc_mean,acc_std,f1_mean,f1_std
DistalPhalanxOutlineCorrect,CNN,0.7934782608695652,0.0,0.7894248608534322,0.0
DistalPhalanxOutlineCorrect,FCN,0.7641304347826087,0.008784104611578794,0.7621485096846873,0.00910333458056683
DistalPhalanxOutlineCorrect,MLP,0.6884057971014492,0.0,0.6436156436156436,0.0
HandOutlines,CNN,0.8594594594594595,0.0,0.8616382160046543,0.0
HandOutlines,FCN,0.6556756756756756,0.22112373576196684,0.5933662260308046,0.28498425677380723
HandOutlines,MLP,0.9108108108108108,0.0,0.9104220050444225,0.0
Strawberry,CNN,0.9594594594594594,0.0,0.9596210469461246,0.0
Strawberry,FCN,0.9727027027027028,0.003916588309780917,0.9728148824361791,0.00388421033269899
Strawberry,MLP,0.6945945945945946,0.0,0.6943558903061894,0.0
TwoPatterns,CNN,0.9925,0.0,0.9925009026919562,0.0
TwoPatterns,FCN,0.8551,0.0025690465157330155,0.8550659345196607,0.0025627081784180003
TwoPatterns,MLP,0.8632500000000001,0.0,0.8632866180902539,0.0
Wafer,CNN,0.9592796885139518,0.0,0.9553361020535714,0.0
Wafer,FCN,0.9975665152498376,0.00018732974341002218,0.9975542262715974,0.00018935297240169058
Wafer,MLP,0.9938351719662556,0.0,0.9938593676170641,0.0
