params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,split0_f1_score,split1_f1_score,split2_f1_score,split3_f1_score,split4_f1_score,mean_test_score,std_test_score,mean_f1_score,std_f1_score,rank_test_score
"N=5, G=5, K=5",0.9250000715255737,0.9500000476837158,0.9333333969116211,0.9333333969116211,0.9416667222976685,0.9242894793076429,0.9499014362151506,0.9328218243819266,0.9330316742081448,0.9414814814814816,0.93666672706604,0.008498357751314727,0.9363051791188693,0.008704929060650493,1.0
"N=7, G=20, K=5",0.9583333730697632,0.9500000476837158,0.9416667222976685,0.9333333969116211,0.9000000357627869,0.9582010582010582,0.9497737556561087,0.9416133792424987,0.9332019149535342,0.8992327365728899,0.9366667151451111,0.020138412455337224,0.936404568925218,0.020361512303414857,2.0
"N=8, G=50, K=5",0.9500000476837158,0.9250000715255737,0.9500000476837158,0.9250000715255737,0.9250000715255737,0.9499014362151506,0.9245482247891715,0.95,0.9245482247891715,0.9247619047619047,0.9350000619888306,0.01224743703383861,0.9347519581110795,0.012410019996765437,3.0
"N=7, G=50, K=5",0.9500000476837158,0.9250000715255737,0.9416667222976685,0.9166666865348816,0.9333333969116211,0.9499014362151506,0.9245482247891715,0.9417766603813116,0.9157142857142857,0.9333333333333333,0.9333333849906922,0.011785118639367653,0.9330547880866507,0.01210795472905582,4.0
"N=6, G=3, K=5",0.9500000476837158,0.9250000715255737,0.98333340883255,0.9000000357627869,0.9000000357627869,0.9497737556561087,0.9247619047619047,0.9833333333333333,0.8995475113122171,0.8988571428571428,0.9316667199134827,0.03179798616868165,0.9312547295841413,0.032100602441601137,5.0
"N=3, G=5, K=3",0.9250000715255737,0.9333333969116211,0.9583333730697632,0.8916667103767395,0.9333333969116211,0.9242894793076429,0.9332019149535342,0.9582952708874991,0.8910141024732477,0.9330316742081448,0.9283333897590638,0.02147349775451299,0.9279664883660137,0.021688245974201922,6.0
"N=5, G=5, K=3",0.9333333969116211,0.9416667222976685,0.9416667222976685,0.9083333611488342,0.9166666865348816,0.9330316742081448,0.9414814814814816,0.9416133792424987,0.908042328042328,0.9160272804774083,0.9283333778381347,0.013540078974851558,0.9280392286903723,0.013667766247331625,7.0
"N=8, G=20, K=5",0.9416667222976685,0.9333333969116211,0.9333333969116211,0.9166666865348816,0.9166666865348816,0.9413152859471334,0.9330316742081448,0.9333333333333333,0.9160272804774083,0.9160272804774083,0.9283333778381347,0.010000018278761678,0.9279469708886856,0.010175824239198952,7.0
"N=8, G=5, K=3",0.9416667222976685,0.9416667222976685,0.9416667222976685,0.9083333611488342,0.9083333611488342,0.9413152859471334,0.9414814814814816,0.9416133792424987,0.9077811636312098,0.9077811636312098,0.9283333778381347,0.016329945245311346,0.9279944947867067,0.016504386167734423,7.0
"N=5, G=3, K=3",0.9500000476837158,0.9416667222976685,0.9250000715255737,0.9083333611488342,0.9166666865348816,0.9499014362151506,0.9414814814814816,0.9251414204902577,0.9077811636312098,0.9153492382868641,0.9283333778381347,0.015456040509684566,0.9279309480209929,0.015737941435821863,7.0
"N=8, G=3, K=3",0.9166666865348816,0.9416667222976685,0.9583333730697632,0.9166666865348816,0.9083333611488342,0.916289592760181,0.9414814814814816,0.9582010582010582,0.916289592760181,0.9077811636312098,0.9283333659172058,0.018708296704279103,0.9280085777668223,0.01885164454927762,11.0
"N=4, G=50, K=5",0.9583333730697632,0.9500000476837158,0.9250000715255737,0.9083333611488342,0.8916667103767395,0.9582952708874991,0.9499014362151506,0.925057777155263,0.9077811636312098,0.8906403589999289,0.9266667127609253,0.02494438427769823,0.9263352013778103,0.02528564560853148,12.0
"N=7, G=5, K=3",0.9500000476837158,0.9333333969116211,0.9333333969116211,0.9083333611488342,0.9083333611488342,0.9497737556561087,0.9332019149535342,0.9332019149535342,0.9077811636312098,0.9077811636312098,0.9266667127609253,0.016158944497797603,0.9263479825651194,0.016322825453515155,12.0
"N=7, G=3, K=5",0.9666666984558105,0.9333333969116211,0.9416667222976685,0.9083333611488342,0.8833333849906921,0.9666666666666667,0.9330316742081448,0.9416133792424987,0.908042328042328,0.8814889336016096,0.9266667127609253,0.028577378802939823,0.9261685963522496,0.029156716967891544,12.0
"N=9, G=3, K=5",0.9583333730697632,0.9250000715255737,0.9250000715255737,0.9083333611488342,0.9166666865348816,0.9582952708874991,0.9247619047619047,0.925057777155263,0.908249595952498,0.9160272804774083,0.9266667127609253,0.016996735374678287,0.9264783658469147,0.017080942564818083,12.0
"N=9, G=5, K=5",0.9250000715255737,0.9250000715255737,0.9250000715255737,0.9250000715255737,0.9250000715255737,0.9242894793076429,0.9247619047619047,0.925057777155263,0.9242894793076429,0.9245482247891715,0.9250000715255737,0.0,0.924589373064325,0.00029350819076103907,16.0
"N=3, G=50, K=5",0.9666666984558105,0.9250000715255737,0.9333333969116211,0.9083333611488342,0.8916667103767395,0.9666666666666667,0.9247619047619047,0.9332019149535342,0.9070921985815603,0.8915677043074977,0.9250000476837158,0.025276250956149184,0.9246580778542327,0.025460802825138386,17.0
"N=6, G=3, K=3",0.9500000476837158,0.9333333969116211,0.9500000476837158,0.9000000357627869,0.8916667103767395,0.949616368286445,0.9332019149535342,0.95006993006993,0.8992327365728899,0.8910141024732477,0.9250000476837158,0.02472066617800369,0.9246270104712094,0.02498013562616559,17.0
"N=5, G=20, K=3",0.9500000476837158,0.9500000476837158,0.9416667222976685,0.9166666865348816,0.8666667342185974,0.95,0.9499014362151506,0.9414814814814816,0.916289592760181,0.8666666666666667,0.9250000476837158,0.03162277157538231,0.9248678354246959,0.03160785469495856,17.0
"N=3, G=5, K=5",0.9083333611488342,0.9333333969116211,0.9500000476837158,0.9166666865348816,0.9166666865348816,0.9074649191537859,0.9333333333333333,0.95006993006993,0.9165023936919178,0.916289592760181,0.9250000357627869,0.014907132289473529,0.9247320338018297,0.015186483307683392,20.0
"N=3, G=3, K=3",0.9333333969116211,0.9166666865348816,0.9500000476837158,0.8833333849906921,0.9333333969116211,0.9328218243819266,0.916289592760181,0.95006993006993,0.883103351168685,0.9328218243819266,0.9233333826065063,0.022607769657007837,0.9230213045525298,0.022638407480401135,21.0
