params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,split0_f1_score,split1_f1_score,split2_f1_score,split3_f1_score,split4_f1_score,mean_test_score,std_test_score,mean_f1_score,std_f1_score,rank_test_score
"N=2, G=3, K=5",0.9399999976158142,0.9399999976158142,0.9799999594688416,0.9549999833106995,0.98499995470047,0.940855614973262,0.9397427876259994,0.98,0.9549052522280869,0.9849684174093624,0.9599999785423279,0.019235365717379597,0.9600944144473422,0.019111231690111356,1.0
"N=7, G=3, K=3",0.9599999785423279,0.9399999976158142,0.9699999690055847,0.9599999785423279,0.9699999690055847,0.9603075531433741,0.9394670406732117,0.97,0.96,0.97,0.9599999785423279,0.01095444070312461,0.9599549187633171,0.011150666760889548,1.0
"N=9, G=3, K=3",0.9599999785423279,0.9399999976158142,0.9699999690055847,0.9549999833106995,0.9649999737739563,0.9604443945685108,0.94,0.9701196581196581,0.9550913927743929,0.9650710832689723,0.9579999804496765,0.010295620322308964,0.9581453057463069,0.010346166667263824,3.0
"N=8, G=50, K=5",0.9449999928474426,0.949999988079071,0.98499995470047,0.949999988079071,0.9599999785423279,0.945518853313058,0.9497856563549993,0.9849018181818182,0.9493100601486024,0.9596446937821412,0.9579999804496765,0.014352686406605872,0.9578322163561237,0.014318111615215826,3.0
"N=8, G=3, K=3",0.949999988079071,0.9449999928474426,0.9699999690055847,0.9549999833106995,0.9649999737739563,0.9505554932106385,0.9448841971676617,0.97,0.9550913927743929,0.9650710832689723,0.9569999814033509,0.009273609651483924,0.9571204332843332,0.009230785360159453,5.0
"N=4, G=3, K=5",0.9749999642372131,0.9350000023841858,0.9649999737739563,0.9449999928474426,0.9649999737739563,0.9750507737635516,0.9348631421072366,0.9650710832689723,0.9451117022798133,0.9650710832689723,0.9569999814033509,0.014696924440606331,0.9570335569377093,0.014747756937515248,5.0
"N=5, G=3, K=3",0.949999988079071,0.9449999928474426,0.9599999785423279,0.9649999737739563,0.9649999737739563,0.9505554932106385,0.94464,0.9601595441595441,0.9650710832689723,0.9650710832689723,0.9569999814033509,0.008124030656949189,0.9570994407816255,0.008179478161574272,5.0
"N=6, G=3, K=3",0.9649999737739563,0.9399999976158142,0.949999988079071,0.9599999785423279,0.9649999737739563,0.9652055960725332,0.9394670406732117,0.9503844414292176,0.96,0.9649263072885119,0.9559999823570251,0.009695350468617109,0.9559966770926949,0.009851854118024047,8.0
"N=8, G=10, K=5",0.9549999833106995,0.9449999928474426,0.9549999833106995,0.9599999785423279,0.9649999737739563,0.9554245163470475,0.94464,0.9552643378075427,0.9596446937821412,0.9650710832689723,0.9559999823570251,0.00663324325475104,0.9560089262411408,0.006715503351879577,8.0
"N=8, G=3, K=5",0.98499995470047,0.9350000023841858,0.9599999785423279,0.9399999976158142,0.9599999785423279,0.9850881126025142,0.9345745454545454,0.9601595441595441,0.9402393162393161,0.9598285250839996,0.9559999823570251,0.017720028247517408,0.9559780087079839,0.017807439702043393,8.0
"N=6, G=3, K=5",0.949999988079071,0.9399999976158142,0.9549999833106995,0.9649999737739563,0.9649999737739563,0.9505554932106385,0.9394670406732117,0.9550913927743929,0.9652055960725332,0.9649263072885119,0.9549999833106995,0.009486823933156181,0.9550491660038576,0.009630249215773636,11.0
"N=2, G=3, K=3",0.9549999833106995,0.9350000023841858,0.9599999785423279,0.949999988079071,0.9749999642372131,0.9550913927743929,0.9348631421072366,0.96,0.95,0.9750507737635516,0.9549999833106995,0.013038392376013503,0.9550010617290361,0.013096067511381771,11.0
"N=9, G=10, K=5",0.9649999737739563,0.9249999523162842,0.9649999737739563,0.9549999833106995,0.9649999737739563,0.9650710832689723,0.924509090909091,0.9649263072885119,0.9549052522280869,0.9649263072885119,0.9549999713897706,0.015491941695351489,0.9548676081966347,0.015672311554872018,13.0
"N=5, G=3, K=5",0.9599999785423279,0.9449999928474426,0.9599999785423279,0.9449999928474426,0.9599999785423279,0.9603075531433741,0.944378503712835,0.9601595441595441,0.9448841971676617,0.96,0.9539999842643738,0.007348462220303166,0.953945959636683,0.007607649586929208,14.0
"N=2, G=5, K=5",0.949999988079071,0.9300000071525574,0.9699999690055847,0.9549999833106995,0.9649999737739563,0.9505554932106385,0.9293782141187471,0.9701196581196581,0.9547054545454546,0.964770909090909,0.9539999842643738,0.01392837499403795,0.9539059458170815,0.014102526459557427,14.0
"N=9, G=5, K=5",0.949999988079071,0.9350000023841858,0.9699999690055847,0.9449999928474426,0.9699999690055847,0.9503844414292176,0.9348631421072366,0.9702306648575306,0.94464,0.9698713938129996,0.9539999842643738,0.01392837499403795,0.9539979284413971,0.01401596800520465,14.0
"N=7, G=20, K=5",0.9350000023841858,0.949999988079071,0.9749999642372131,0.9449999928474426,0.9599999785423279,0.9360228691959702,0.9495558672276765,0.9748363636363636,0.944099055066797,0.9596446937821412,0.9529999852180481,0.01363816869060225,0.9528317697817897,0.013417518897924275,17.0
"N=8, G=5, K=5",0.949999988079071,0.9449999928474426,0.9649999737739563,0.9449999928474426,0.9599999785423279,0.9505554932106385,0.944378503712835,0.9650710832689723,0.9451117022798133,0.9596446937821412,0.9529999852180481,0.008124030656949189,0.9529522952508801,0.008153314425736097,17.0
"N=6, G=5, K=3",0.949999988079071,0.9350000023841858,0.9649999737739563,0.9449999928474426,0.9699999690055847,0.9503844414292176,0.9345745454545454,0.9650710832689723,0.94464,0.97,0.9529999852180481,0.01288408643949108,0.9529340140305471,0.013045439068037866,17.0
"N=9, G=20, K=3",0.9399999976158142,0.9399999976158142,0.9599999785423279,0.9599999785423279,0.9649999737739563,0.9406665918527662,0.9397427876259994,0.96,0.96,0.9649263072885119,0.9529999852180481,0.010770319342882277,0.9530671373534554,0.010659089125009449,17.0
"N=7, G=5, K=5",0.9599999785423279,0.9399999976158142,0.9649999737739563,0.9249999523162842,0.9749999642372131,0.9603075531433741,0.9394670406732117,0.9649263072885119,0.9248420870468115,0.9749473623489371,0.9529999732971192,0.01805547135293331,0.9528980701001692,0.018183954212746142,21.0
"N=4, G=10, K=5",0.9449999928474426,0.9399999976158142,0.9549999833106995,0.949999988079071,0.9699999690055847,0.9453230795425523,0.9391720721783229,0.9552643378075427,0.9495558672276765,0.97,0.9519999861717224,0.010295620322308964,0.9518630713512188,0.010484969604624073,22.0
"N=7, G=5, K=3",0.949999988079071,0.9350000023841858,0.9649999737739563,0.949999988079071,0.9599999785423279,0.9503844414292176,0.9345745454545454,0.9650710832689723,0.9495558672276765,0.96,0.9519999861717224,0.010295620322308964,0.9519171874760823,0.010459915954479709,22.0
"N=5, G=5, K=5",0.9449999928474426,0.9350000023841858,0.9649999737739563,0.9549999833106995,0.9599999785423279,0.945518853313058,0.9345745454545454,0.9649263072885119,0.9549052522280869,0.9598285250839996,0.9519999861717224,0.010770319342882275,0.9519506966736404,0.01079310233454741,22.0
"N=4, G=50, K=3",0.9300000071525574,0.9549999833106995,0.9649999737739563,0.9549999833106995,0.949999988079071,0.9312003540214626,0.9540189598971262,0.964770909090909,0.9547054545454546,0.9495558672276765,0.9509999871253967,0.011575825863211878,0.9508503089565258,0.01101346369436968,25.0
"N=5, G=5, K=3",0.949999988079071,0.9449999928474426,0.9549999833106995,0.9449999928474426,0.9599999785423279,0.9505554932106385,0.944378503712835,0.9550913927743929,0.9448841971676617,0.9598285250839996,0.9509999871253967,0.005830946334016238,0.9509476223899055,0.0059348711287395975,25.0
"N=1, G=3, K=3",0.9449999928474426,0.949999988079071,0.9549999833106995,0.9449999928474426,0.9599999785423279,0.9453230795425523,0.949047619047619,0.9549052522280869,0.9448841971676617,0.9601595441595441,0.9509999871253967,0.005830946334016238,0.9508639384290929,0.005873635023861657,25.0
"N=6, G=10, K=3",0.9549999833106995,0.9449999928474426,0.9549999833106995,0.9399999976158142,0.9599999785423279,0.9549052522280869,0.944378503712835,0.9550913927743929,0.9394670406732117,0.96,0.9509999871253967,0.007348462220303166,0.9507684378777054,0.007610200373593522,25.0
"N=7, G=3, K=5",0.9399999976158142,0.9350000023841858,0.949999988079071,0.9649999737739563,0.9649999737739563,0.9406665918527662,0.9348631421072366,0.9501994301994301,0.9650710832689723,0.9650710832689723,0.9509999871253967,0.012409661811203825,0.9511742661394754,0.012358457378508093,25.0
"N=4, G=20, K=3",0.9649999737739563,0.9449999928474426,0.949999988079071,0.9449999928474426,0.949999988079071,0.9653301793810368,0.944099055066797,0.95,0.9448841971676617,0.9495558672276765,0.9509999871253967,0.007348462220303166,0.9507738597686345,0.007657805805721614,25.0
"N=6, G=50, K=5",0.9300000071525574,0.9449999928474426,0.9699999690055847,0.9549999833106995,0.949999988079071,0.9307776904948939,0.94464,0.9698713938129996,0.9547054545454546,0.9493100601486024,0.949999988079071,0.013038392376013503,0.9498609198003901,0.012771998103270128,31.0
"N=9, G=5, K=3",0.9350000023841858,0.9449999928474426,0.9549999833106995,0.9549999833106995,0.9599999785423279,0.9356131902790685,0.944099055066797,0.9550913927743929,0.9547054545454546,0.96,0.949999988079071,0.00894426338007676,0.9499018185331426,0.008829686629901315,31.0
