params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,split0_f1_score,split1_f1_score,split2_f1_score,split3_f1_score,split4_f1_score,mean_test_score,std_test_score,mean_f1_score,std_f1_score,rank_test_score
"N=7, G=10, K=3",0.9918698668479919,0.9999999403953552,0.9837397933006287,0.9918698668479919,0.9837397933006287,0.9918411794584403,1.0,0.983739837398374,0.9918411794584403,0.983739837398374,0.9902438521385193,0.006083989948701449,0.9902324067427257,0.0060809389196675315,1.0
"N=2, G=3, K=3",0.9999999403953552,0.9999999403953552,0.9837397933006287,0.9756097197532654,0.9918698668479919,1.0,1.0,0.9836215359057615,0.9755235383753208,0.9918411794584403,0.9902438521385193,0.009481213551245916,0.9901972507479044,0.009523110289004714,1.0
"N=6, G=5, K=5",0.9918698668479919,0.9918698668479919,0.9918698668479919,0.9918698668479919,0.9837397933006287,0.9918411794584403,0.9918411794584403,0.9918411794584403,0.9918411794584403,0.9836215359057615,0.9902438521385193,0.0032520294189453125,0.9901972507479047,0.003287857421071516,1.0
"N=7, G=5, K=3",0.9918698668479919,0.9999999403953552,0.9837397933006287,0.9837397933006287,0.9918698668479919,0.9918411794584403,1.0,0.983739837398374,0.9836215359057615,0.9918411794584403,0.9902438521385193,0.006083989948701449,0.9902087464442031,0.006106331930165833,1.0
"N=2, G=10, K=5",0.9999999403953552,0.9918698668479919,0.9837397933006287,0.9837397933006287,0.9918698668479919,1.0,0.9918411794584403,0.9836215359057615,0.9836215359057615,0.9918411794584403,0.9902438521385193,0.006083989948701449,0.9901850861456808,0.006131528481426626,1.0
"N=9, G=20, K=3",0.9918698668479919,0.9999999403953552,0.9837397933006287,0.9999999403953552,0.9756097197532654,0.9918411794584403,1.0,0.983739837398374,1.0,0.9756911000475122,0.9902438521385193,0.009481213551245916,0.9902544233808653,0.00945516302517972,1.0
"N=9, G=10, K=5",0.9918698668479919,0.9999999403953552,0.9918698668479919,0.9918698668479919,0.9756097197532654,0.9918411794584403,1.0,0.9918411794584403,0.9918970333491707,0.9756911000475122,0.9902438521385193,0.007965812704935682,0.9902540984627126,0.007934738897163156,1.0
"N=7, G=3, K=5",0.9918698668479919,0.9918698668479919,0.9999999403953552,0.9918698668479919,0.9756097197532654,0.9918970333491707,0.9918411794584403,1.0,0.9918411794584403,0.9753359007274283,0.9902438521385193,0.007965812704935682,0.9901830585986959,0.00806531926643065,1.0
"N=8, G=10, K=5",0.9918698668479919,0.9999999403953552,0.9918698668479919,0.9918698668479919,0.9756097197532654,0.9918411794584403,1.0,0.9918411794584403,0.9918411794584403,0.9756911000475122,0.9902438521385193,0.007965812704935682,0.9902429276845666,0.007932457046151678,1.0
"N=4, G=10, K=3",0.9918698668479919,0.9999999403953552,0.9756097197532654,0.9999999403953552,0.9756097197532654,0.9918411794584403,1.0,0.9758396977909172,1.0,0.9756911000475122,0.9886178374290466,0.011028168317059118,0.9886743954593739,0.010953196622999154,10.0
