params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,split0_f1_score,split1_f1_score,split2_f1_score,split3_f1_score,split4_f1_score,mean_test_score,std_test_score,mean_f1_score,std_f1_score,rank_test_score
"N=4, G=3, K=3",0.9300000071525574,0.9249999523162842,0.9149999618530273,0.9350000023841858,0.9350000023841858,0.9300199463168459,0.9249508891335535,0.9148026539223068,0.9349019600705045,0.9348890466946833,0.927999985218048,0.0074833331249345636,0.9279128992275787,0.0075180487913661595,1.0
"N=5, G=5, K=5",0.9649999737739563,0.9399999976158142,0.9149999618530273,0.9149999618530273,0.8849999904632568,0.9649562919360335,0.9401024998637358,0.915337962962963,0.9148136645962733,0.88356552006552,0.9239999771118164,0.026907247686556605,0.9237551878849051,0.027315839718029374,2.0
"N=8, G=5, K=5",0.9350000023841858,0.8949999809265137,0.9149999618530273,0.949999988079071,0.9049999713897705,0.9345361415574183,0.8954851707642675,0.9149824847252145,0.9499135979717562,0.9049545031687888,0.9199999809265137,0.020000007748607152,0.919974379637489,0.019792113378141827,3.0
"N=4, G=3, K=5",0.8849999904632568,0.9199999570846558,0.9199999570846558,0.9350000023841858,0.9099999666213989,0.8849043122907757,0.9199032990897895,0.9192447055371812,0.935151790954214,0.9093487477223807,0.9139999747276306,0.016552944694701026,0.9137105711188681,0.01659836427195532,4.0
"N=8, G=5, K=3",0.9399999976158142,0.8849999904632568,0.8999999761581421,0.9149999618530273,0.9049999713897705,0.9401116050316844,0.8847382641429086,0.8997499678251107,0.9149160339463174,0.9049921763869132,0.9089999794960022,0.018275669674277854,0.9089016094665869,0.018401850961061308,5.0
"N=7, G=10, K=3",0.9399999976158142,0.875,0.8949999809265137,0.9300000071525574,0.8949999809265137,0.9401585743920297,0.8752564048264098,0.8949507547596142,0.930044642857143,0.8954006085522042,0.9069999933242798,0.024207441364957526,0.9071621970774799,0.02415699115383478,6.0
"N=7, G=10, K=5",0.9300000071525574,0.8899999856948853,0.875,0.9249999523162842,0.8650000095367432,0.9300093456858921,0.8900929245283019,0.8743805982648309,0.9252052764486975,0.8644137240688964,0.896999990940094,0.026191591748891303,0.8968203737993237,0.026480950133199732,7.0
"N=6, G=5, K=3",0.9149999618530273,0.8349999785423279,0.875,0.9300000071525574,0.9300000071525574,0.9147885612872387,0.8346044956404404,0.8736189598689599,0.9302228258299442,0.9301327660702772,0.896999990940094,0.03695944326312156,0.8966735217393721,0.03730230104935669,7.0
"N=5, G=5, K=3",0.9049999713897705,0.875,0.9049999713897705,0.9199999570846558,0.875,0.9048459034183398,0.8748431372549021,0.9054910722172703,0.9202620464877669,0.8740456416053642,0.8959999799728393,0.017999982833862307,0.8958975601967287,0.018365900920255175,9.0
"N=9, G=20, K=5",0.9199999570846558,0.8549999594688416,0.8999999761581421,0.9049999713897705,0.8999999761581421,0.9206861239119304,0.8550186494029112,0.9000591409942004,0.9047763377926421,0.9002599638052717,0.8959999680519104,0.021771542743521638,0.8961600431813913,0.021910708631811646,10.0
"N=8, G=10, K=3",0.9300000071525574,0.8700000047683716,0.8899999856948853,0.9099999666213989,0.875,0.93002323579053,0.8702106665359094,0.8900770119368502,0.9103990419597381,0.8745798664104681,0.8949999928474426,0.022360677109402073,0.8950579645266992,0.02244758098309564,11.0
"N=5, G=3, K=3",0.9399999976158142,0.8299999833106995,0.9049999713897705,0.8849999904632568,0.8999999761581421,0.9393840348949286,0.8301746273528452,0.904699571197267,0.8854396443571702,0.9000658821241003,0.8919999837875366,0.035860844520927256,0.8919527519852624,0.035600528460132806,12.0
"N=9, G=20, K=3",0.9049999713897705,0.8799999952316284,0.8949999809265137,0.9099999666213989,0.8549999594688416,0.9045735228390095,0.8797264878586104,0.8949344651353383,0.91,0.8554200147632605,0.8889999747276306,0.01984943473069098,0.8889308981192438,0.019658799814058957,13.0
"N=9, G=3, K=3",0.9049999713897705,0.875,0.8700000047683716,0.9149999618530273,0.875,0.9051869049925619,0.8753054961205126,0.869953011309903,0.9152574370709382,0.874657066869301,0.8879999876022339,0.018330285298684388,0.8880719832726433,0.018456488100388548,14.0
"N=8, G=10, K=5",0.8999999761581421,0.8449999690055847,0.8549999594688416,0.9249999523162842,0.9099999666213989,0.9002232142857143,0.8448055595241486,0.8537244245524296,0.9252196744728794,0.9101933706365211,0.8869999647140503,0.031400635083574345,0.8868332486943385,0.031815169503836525,15.0
"N=3, G=5, K=5",0.8199999928474426,0.875,0.9099999666213989,0.8799999952316284,0.9449999928474426,0.8191225116540938,0.8749743617134922,0.909785778664973,0.8805208333333333,0.9445522318239037,0.8859999895095825,0.041400479599116,0.8857911434379592,0.04151648691155009,16.0
"N=3, G=5, K=3",0.8549999594688416,0.8849999904632568,0.8799999952316284,0.9049999713897705,0.9049999713897705,0.8555237813102465,0.8849787706218919,0.8788243472124206,0.9050575048732944,0.9053996683750377,0.8859999775886536,0.01854723922770831,0.8859568144785783,0.01855186841321952,17.0
"N=7, G=20, K=3",0.8700000047683716,0.8650000095367432,0.8849999904632568,0.9199999570846558,0.8849999904632568,0.8695449018586069,0.8644244108243396,0.883948717948718,0.9199155701754386,0.8851267393256683,0.8849999904632568,0.019235365717379597,0.8845920680265543,0.019398975145583554,18.0
"N=9, G=5, K=5",0.9199999570846558,0.8449999690055847,0.8849999904632568,0.9199999570846558,0.8549999594688416,0.9201655350412813,0.8449901018099547,0.8848463906325447,0.9198073645652595,0.8543395872821964,0.8849999666213989,0.03146426195948458,0.8848297958662472,0.0315876529439094,19.0
"N=8, G=20, K=5",0.9049999713897705,0.8549999594688416,0.8849999904632568,0.9350000023841858,0.8349999785423279,0.9050872768260857,0.8550050259880356,0.8851749999999999,0.9350700979297585,0.8350067583065294,0.8829999804496765,0.035440099550200915,0.8830688318100819,0.03547088848646121,20.0
"N=9, G=3, K=5",0.8999999761581421,0.8349999785423279,0.8999999761581421,0.9049999713897705,0.8700000047683716,0.9002406494347328,0.8347811520049455,0.8999366572215188,0.9048207600657769,0.869460975251537,0.8819999814033508,0.026570656257972416,0.8818480387957022,0.026690685044215002,21.0
"N=8, G=3, K=3",0.8799999952316284,0.8449999690055847,0.8799999952316284,0.9199999570846558,0.8799999952316284,0.8804851258581237,0.8444156668828648,0.8799921899406435,0.9197417788458726,0.8800739728108149,0.8809999823570251,0.023748679596190578,0.8809417468676639,0.023838876624051316,22.0
"N=6, G=10, K=3",0.9249999523162842,0.8149999976158142,0.8799999952316284,0.9049999713897705,0.875,0.9250628316828141,0.8143938369117811,0.8796640262138342,0.9056071372284138,0.8747712753640049,0.8799999833106995,0.03714833667312706,0.8798998214801695,0.0374645303520311,23.0
"N=7, G=5, K=3",0.9399999976158142,0.8399999737739563,0.8449999690055847,0.9099999666213989,0.8650000095367432,0.9401488095238096,0.8396247781428194,0.8451727752972663,0.9101881502598124,0.8643567970196608,0.8799999833106995,0.038858722811676086,0.8798982620486736,0.03903064403819693,23.0
"N=5, G=3, K=5",0.9049999713897705,0.824999988079071,0.9149999618530273,0.8549999594688416,0.8999999761581421,0.9053750118225669,0.8248139931963462,0.9149556042505909,0.8554458879910659,0.9004308953086635,0.8799999713897705,0.03435112307738064,0.8802042785138466,0.03444241016989668,25.0
"N=6, G=5, K=5",0.9149999618530273,0.8399999737739563,0.8549999594688416,0.9099999666213989,0.875,0.9148661118307809,0.839662730516862,0.8549834999477742,0.9100973637729788,0.8748513293543135,0.8789999723434448,0.02956348820783093,0.8788922070845417,0.029647227284175837,26.0
"N=7, G=20, K=5",0.8799999952316284,0.8349999785423279,0.8899999856948853,0.9099999666213989,0.875,0.8789352956265231,0.8353837712328985,0.8903949891067537,0.9095871646084412,0.8747435949739584,0.8779999852180481,0.024617064596469673,0.8778089631097149,0.024408294301005988,27.0
"N=3, G=3, K=5",0.8799999952316284,0.824999988079071,0.8549999594688416,0.9249999523162842,0.9049999713897705,0.8801659330720532,0.8251176447499118,0.8559587699424148,0.9244096076274295,0.9054511967969677,0.8779999732971191,0.03544008205904136,0.8782206304377554,0.03519723592013452,28.0
"N=7, G=3, K=5",0.875,0.8349999785423279,0.8849999904632568,0.9149999618530273,0.875,0.875486389049547,0.8358289374354783,0.8854507462740545,0.9150912439285418,0.8749708957678902,0.8769999861717224,0.025612492071985873,0.8773656424911023,0.025389581246020903,29.0
