params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,split0_f1_score,split1_f1_score,split2_f1_score,split3_f1_score,split4_f1_score,mean_test_score,std_test_score,mean_f1_score,std_f1_score,rank_test_score
"N=9, G=5, K=3",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0
"N=8, G=3, K=5",1.0,1.0,1.0,1.0,0.9950000047683716,1.0,1.0,1.0,1.0,0.9950485133020345,0.9990000009536744,0.0019999980926513673,0.9990097026604069,0.0019805946791862095,2.0
"N=9, G=5, K=5",1.0,1.0,1.0,1.0,0.9950000047683716,1.0,1.0,1.0,1.0,0.9949488632662367,0.9990000009536744,0.0019999980926513673,0.9989897726532473,0.0020204546935053357,2.0
"N=6, G=20, K=3",0.9950000047683716,1.0,1.0,1.0,0.9950000047683716,0.9950485133020345,1.0,1.0,1.0,0.9950485133020345,0.9980000019073486,0.002449487406767722,0.9980194053208138,0.0024257231756387794,4.0
"N=3, G=50, K=5",1.0,1.0,1.0,0.9950000047683716,0.9950000047683716,1.0,1.0,1.0,0.9950485133020345,0.9950485133020345,0.9980000019073486,0.002449487406767722,0.9980194053208138,0.0024257231756387794,4.0
"N=4, G=3, K=3",1.0,0.9950000047683716,1.0,0.9950000047683716,1.0,1.0,0.9949488632662367,1.0,0.9949488632662367,1.0,0.9980000019073486,0.0024494874067677217,0.9979795453064947,0.002474541523749725,4.0
"N=8, G=3, K=3",0.9950000047683716,1.0,1.0,1.0,0.9950000047683716,0.9949488632662367,1.0,1.0,1.0,0.9950485133020345,0.9980000019073486,0.002449487406767722,0.9979994753136543,0.002450334986074706,4.0
"N=9, G=50, K=5",1.0,1.0,1.0,1.0,0.9899999499320984,1.0,1.0,1.0,1.0,0.9901891427167773,0.9979999899864197,0.004000020027160644,0.9980378285433554,0.003924342913289091,8.0
"N=9, G=3, K=5",1.0,0.9950000047683716,1.0,0.9950000047683716,0.9950000047683716,1.0,0.9949488632662367,1.0,0.9949488632662367,0.9950485133020345,0.997000002861023,0.002449487406767722,0.9969892479669016,0.0024585380250239904,9.0
"N=8, G=50, K=3",1.0,0.9950000047683716,1.0,0.9950000047683716,0.9950000047683716,1.0,0.9949488632662367,1.0,0.9950485133020345,0.9950485133020345,0.997000002861023,0.002449487406767722,0.9970091779740612,0.0024422670365554532,9.0
"N=4, G=20, K=5",1.0,0.9950000047683716,1.0,0.9950000047683716,0.9950000047683716,1.0,0.9950485133020345,1.0,0.9950485133020345,0.9950485133020345,0.997000002861023,0.002449487406767722,0.9970291079812206,0.00242572317563878,9.0
"N=7, G=5, K=3",0.9950000047683716,0.9950000047683716,1.0,0.9950000047683716,1.0,0.9949488632662367,0.9949488632662367,1.0,0.9949488632662367,1.0,0.997000002861023,0.002449487406767722,0.9969693179597421,0.002474541523749725,9.0
"N=6, G=10, K=3",1.0,0.9950000047683716,1.0,0.9950000047683716,0.9950000047683716,1.0,0.9949488632662367,1.0,0.9950485133020345,0.9950485133020345,0.997000002861023,0.002449487406767722,0.9970091779740612,0.0024422670365554532,9.0
"N=6, G=10, K=5",1.0,0.9950000047683716,1.0,0.9950000047683716,0.9950000047683716,1.0,0.9949488632662367,1.0,0.9950485133020345,0.9950485133020345,0.997000002861023,0.002449487406767722,0.9970091779740612,0.0024422670365554532,9.0
"N=9, G=3, K=3",1.0,0.9950000047683716,1.0,1.0,0.9899999499320984,1.0,0.9949488632662367,1.0,1.0,0.99,0.996999990940094,0.004000017046945059,0.9969897726532473,0.004005162641079273,15.0
"N=2, G=5, K=3",1.0,1.0,0.9950000047683716,1.0,0.9899999499320984,1.0,1.0,0.9950485133020345,1.0,0.9901891427167773,0.996999990940094,0.004000017046945059,0.9970475312037623,0.003928989213222887,15.0
"N=7, G=10, K=5",1.0,0.9950000047683716,1.0,1.0,0.9899999499320984,1.0,0.9949488632662367,1.0,1.0,0.9901891427167773,0.996999990940094,0.004000017046945059,0.9970276011966028,0.003939317953726302,15.0
"N=3, G=3, K=5",1.0,0.9950000047683716,1.0,0.9899999499320984,0.9950000047683716,1.0,0.9949488632662367,1.0,0.9897898377227986,0.9950485133020345,0.9959999918937683,0.003741672934492183,0.9959574428582141,0.003809652879910773,18.0
"N=4, G=20, K=3",1.0,1.0,1.0,0.98499995470047,0.9950000047683716,1.0,1.0,1.0,0.9848465897987103,0.9950485133020345,0.9959999918937683,0.005830968822668557,0.995979020620149,0.005887303039299804,18.0
"N=6, G=3, K=3",1.0,0.9899999499320984,1.0,0.9950000047683716,0.9950000047683716,1.0,0.9897898377227986,1.0,0.9950485133020345,0.9949488632662367,0.9959999918937683,0.003741672934492183,0.9959574428582141,0.0038096528799107725,18.0
"N=4, G=5, K=5",1.0,0.9950000047683716,1.0,1.0,0.98499995470047,1.0,0.9949488632662367,1.0,1.0,0.9851455399061032,0.9959999918937683,0.005830968822668557,0.9960188806344681,0.00577793059790917,18.0
"N=7, G=3, K=5",1.0,0.9950000047683716,1.0,0.9950000047683716,0.9899999499320984,1.0,0.9949488632662367,1.0,0.9950485133020345,0.9901891427167773,0.9959999918937683,0.003741672934492183,0.9960373038570097,0.0036815572750322828,18.0
"N=9, G=10, K=5",0.9950000047683716,1.0,1.0,0.98499995470047,1.0,0.9950485133020345,1.0,1.0,0.9848465897987103,1.0,0.9959999918937683,0.005830968822668557,0.995979020620149,0.005887303039299804,18.0
"N=8, G=5, K=5",1.0,0.9950000047683716,1.0,0.9899999499320984,0.9950000047683716,1.0,0.9949488632662367,1.0,0.99,0.9949488632662367,0.9959999918937683,0.003741672934492183,0.9959795453064946,0.0037472038880664456,18.0
"N=8, G=10, K=3",1.0,0.9899999499320984,1.0,0.9950000047683716,0.9950000047683716,1.0,0.99,1.0,0.9950485133020345,0.9950485133020345,0.9959999918937683,0.003741672934492183,0.9960194053208138,0.0037365430825946956,18.0
"N=8, G=10, K=5",1.0,1.0,1.0,0.9899999499320984,0.9899999499320984,1.0,1.0,1.0,0.9901891427167773,0.9901891427167773,0.9959999799728394,0.004899004013728643,0.9960756570867109,0.004806318856632743,26.0
"N=7, G=5, K=5",0.9899999499320984,1.0,1.0,0.9899999499320984,1.0,0.9901891427167773,1.0,1.0,0.99,1.0,0.9959999799728394,0.004899004013728643,0.9960378285433554,0.004853017769852502,26.0
"N=6, G=5, K=5",1.0,1.0,1.0,0.9899999499320984,0.9899999499320984,1.0,1.0,1.0,0.9901891427167773,0.9901891427167773,0.9959999799728394,0.004899004013728643,0.9960756570867109,0.004806318856632743,26.0
"N=3, G=20, K=5",0.9950000047683716,0.9950000047683716,0.9950000047683716,0.9950000047683716,0.9950000047683716,0.9949488632662367,0.9950485133020345,0.9950485133020345,0.9950485133020345,0.9950485133020345,0.9950000047683716,0.0,0.9950285832948749,3.986001431912634e-05,29.0
"N=7, G=20, K=3",0.9950000047683716,0.9899999499320984,1.0,0.9950000047683716,0.9950000047683716,0.9950485133020345,0.99,1.0,0.9949488632662367,0.9950485133020345,0.9949999928474427,0.003162293493062759,0.9950091779740612,0.0031624958773237735,30.0
"N=8, G=50, K=5",0.9899999499320984,0.9950000047683716,1.0,0.9950000047683716,0.9950000047683716,0.99,0.9949488632662367,1.0,0.9950485133020345,0.9950485133020345,0.9949999928474427,0.003162293493062759,0.9950091779740611,0.0031624958773237735,30.0
